,battery_level_pct,local_dt,metadata_write_ts,ts
0,100,2016-06-30 01:18:18.000,1467274698.0,1467274698.0
1,100,2016-06-30 01:18:18.000,1467274698.0,1467274698.0
2,100,2016-06-30 01:18:18.000,1467274698.0,1467274698.0
3,100,2016-06-30 01:18:18.259,1467274698.26,1467274698.26
4,100,2016-06-30 01:18:22.539,1467274702.54,1467274702.54
5,100,2016-06-30 01:18:22.568,1467274702.57,1467274702.57
6,100,2016-06-30 01:18:22.569,1467274702.57,1467274702.57
7,100,2016-06-30 01:18:22.844,1467274702.84,1467274702.84
8,100,2016-06-30 01:18:22.849,1467274702.85,1467274702.85
9,100,2016-06-30 01:18:23.012,1467274703.01,1467274703.01
10,100,2016-06-30 01:18:23.036,1467274703.04,1467274703.04
11,100,2016-06-30 01:18:24.062,1467274704.06,1467274704.06
12,100,2016-06-30 01:18:31.626,1467274711.63,1467274711.63
13,100,2016-06-30 01:18:31.632,1467274711.63,1467274711.63
14,100,2016-06-30 01:18:48.630,1467274728.63,1467274728.63
15,100,2016-06-30 01:18:48.647,1467274728.65,1467274728.65
16,100,2016-06-30 01:18:49.681,1467274729.68,1467274729.68
17,100,2016-06-30 01:18:49.835,1467274729.84,1467274729.84
18,100,2016-06-30 01:18:49.997,1467274730.0,1467274730.0
19,100,2016-06-30 01:18:50.014,1467274730.01,1467274730.01
20,100,2016-06-30 01:18:52.011,1467274732.01,1467274732.01
21,100,2016-06-30 01:18:52.624,1467274732.62,1467274732.62
22,100,2016-06-30 01:18:53.283,1467274733.28,1467274733.28
23,100,2016-06-30 01:18:53.287,1467274733.29,1467274733.29
24,100,2016-06-30 01:18:57.775,1467274737.78,1467274737.78
25,100,2016-06-30 01:18:58.590,1467274738.59,1467274738.59
26,100,2016-06-30 01:19:00.204,1467274740.2,1467274740.2
27,100,2016-06-30 01:19:04.626,1467274744.63,1467274744.63
28,100,2016-06-30 01:19:04.790,1467274744.79,1467274744.79
29,100,2016-06-30 01:19:05.848,1467274745.85,1467274745.85
30,100,2016-06-30 01:19:06.649,1467274746.65,1467274746.65
31,100,2016-06-30 01:19:12.669,1467274752.67,1467274752.67
32,100,2016-06-30 01:19:12.670,1467274752.67,1467274752.67
33,100,2016-06-30 01:19:13.060,1467274753.06,1467274753.06
34,100,2016-06-30 01:19:27.669,1467274767.67,1467274767.67
35,100,2016-06-30 01:19:27.684,1467274767.68,1467274767.68
36,100,2016-06-30 01:19:29.270,1467274769.27,1467274769.27
37,100,2016-06-30 01:19:29.273,1467274769.27,1467274769.27
38,100,2016-06-30 01:19:29.462,1467274769.46,1467274769.46
39,100,2016-06-30 01:19:29.487,1467274769.49,1467274769.49
40,100,2016-06-30 01:19:31.997,1467274772.0,1467274772.0
41,100,2016-06-30 01:19:32.578,1467274772.58,1467274772.58
42,100,2016-06-30 01:19:32.678,1467274772.68,1467274772.68
43,100,2016-06-30 01:19:37.186,1467274777.19,1467274777.19
44,100,2016-06-30 01:19:37.984,1467274777.98,1467274777.98
45,100,2016-06-30 01:19:39.458,1467274779.46,1467274779.46
46,100,2016-06-30 01:19:43.676,1467274783.68,1467274783.68
47,100,2016-06-30 01:19:43.684,1467274783.68,1467274783.68
48,100,2016-06-30 01:19:52.681,1467274792.68,1467274792.68
49,100,2016-06-30 01:19:52.683,1467274792.68,1467274792.68
50,100,2016-06-30 01:20:08.703,1467274808.7,1467274808.7
51,100,2016-06-30 01:20:08.860,1467274808.86,1467274808.86
52,100,2016-06-30 01:20:09.006,1467274809.01,1467274809.01
53,100,2016-06-30 01:20:09.030,1467274809.03,1467274809.03
54,100,2016-06-30 01:20:11.538,1467274811.54,1467274811.54
55,100,2016-06-30 01:20:12.114,1467274812.11,1467274812.11
56,100,2016-06-30 01:20:12.204,1467274812.2,1467274812.2
57,100,2016-06-30 01:20:16.727,1467274816.73,1467274816.73
58,100,2016-06-30 01:20:17.482,1467274817.48,1467274817.48
59,100,2016-06-30 01:20:19.082,1467274819.08,1467274819.08
60,100,2016-06-30 01:20:23.694,1467274823.69,1467274823.69
61,100,2016-06-30 01:20:23.696,1467274823.7,1467274823.7
62,100,2016-06-30 01:20:32.693,1467274832.69,1467274832.69
63,100,2016-06-30 01:20:32.712,1467274832.71,1467274832.71
64,100,2016-06-30 01:20:34.690,1467274834.69,1467274834.69
65,100,2016-06-30 01:20:35.551,1467274835.55,1467274835.55
66,100,2016-06-30 01:20:48.673,1467274848.67,1467274848.67
67,100,2016-06-30 01:20:48.676,1467274848.68,1467274848.68
68,100,2016-06-30 01:20:48.774,1467274848.77,1467274848.77
69,100,2016-06-30 01:20:48.808,1467274848.81,1467274848.81
70,100,2016-06-30 01:20:51.347,1467274851.35,1467274851.35
71,100,2016-06-30 01:20:51.897,1467274851.9,1467274851.9
72,100,2016-06-30 01:20:51.973,1467274851.97,1467274851.97
73,100,2016-06-30 01:20:55.650,1467274855.65,1467274855.65
74,100,2016-06-30 01:20:55.674,1467274855.67,1467274855.67
75,100,2016-06-30 01:20:57.168,1467274857.17,1467274857.17
76,100,2016-06-30 01:20:57.170,1467274857.17,1467274857.17
77,100,2016-06-30 01:20:58.854,1467274858.85,1467274858.85
78,100,2016-06-30 01:21:03.691,1467274863.69,1467274863.69
79,100,2016-06-30 01:21:03.856,1467274863.86,1467274863.86
80,100,2016-06-30 01:21:13.694,1467274873.69,1467274873.69
81,100,2016-06-30 01:21:13.697,1467274873.7,1467274873.7
82,100,2016-06-30 01:21:29.664,1467274889.66,1467274889.66
83,100,2016-06-30 01:21:29.666,1467274889.67,1467274889.67
84,100,2016-06-30 01:21:29.810,1467274889.81,1467274889.81
85,100,2016-06-30 01:21:29.857,1467274889.86,1467274889.86
86,100,2016-06-30 01:21:31.659,1467274891.66,1467274891.66
87,100,2016-06-30 01:21:32.287,1467274892.29,1467274892.29
88,100,2016-06-30 01:21:32.814,1467274892.81,1467274892.81
89,100,2016-06-30 01:21:32.886,1467274892.89,1467274892.89
90,100,2016-06-30 01:21:37.565,1467274897.57,1467274897.57
91,100,2016-06-30 01:21:38.229,1467274898.23,1467274898.23
92,100,2016-06-30 01:21:39.989,1467274899.99,1467274899.99
93,100,2016-06-30 01:21:40.604,1467274900.6,1467274900.6
94,100,2016-06-30 01:21:41.523,1467274901.52,1467274901.52
95,100,2016-06-30 01:21:44.685,1467274904.68,1467274904.68
96,100,2016-06-30 01:21:44.691,1467274904.69,1467274904.69
97,100,2016-06-30 01:21:53.675,1467274913.67,1467274913.67
98,100,2016-06-30 01:21:53.688,1467274913.69,1467274913.69
99,100,2016-06-30 01:22:09.649,1467274929.65,1467274929.65
100,100,2016-06-30 01:22:09.807,1467274929.81,1467274929.81
101,100,2016-06-30 01:22:09.975,1467274929.97,1467274929.97
102,100,2016-06-30 01:22:09.995,1467274929.99,1467274929.99
103,100,2016-06-30 01:22:12.571,1467274932.57,1467274932.57
104,100,2016-06-30 01:22:13.093,1467274933.09,1467274933.09
105,100,2016-06-30 01:22:13.164,1467274933.16,1467274933.16
106,100,2016-06-30 01:22:17.732,1467274937.73,1467274937.73
107,100,2016-06-30 01:22:18.332,1467274938.33,1467274938.33
108,100,2016-06-30 01:22:20.024,1467274940.02,1467274940.02
109,100,2016-06-30 01:22:24.671,1467274944.67,1467274944.67
110,100,2016-06-30 01:22:24.672,1467274944.67,1467274944.67
111,100,2016-06-30 01:22:25.440,1467274945.44,1467274945.44
112,100,2016-06-30 01:22:26.265,1467274946.27,1467274946.27
113,100,2016-06-30 01:22:33.683,1467274953.68,1467274953.68
114,100,2016-06-30 01:22:33.684,1467274953.68,1467274953.68
115,100,2016-06-30 01:22:50.681,1467274970.68,1467274970.68
116,100,2016-06-30 01:22:50.719,1467274970.72,1467274970.72
117,100,2016-06-30 01:22:50.815,1467274970.82,1467274970.82
118,100,2016-06-30 01:22:50.841,1467274970.84,1467274970.84
119,100,2016-06-30 01:22:53.399,1467274973.4,1467274973.4
120,100,2016-06-30 01:22:54.056,1467274974.06,1467274974.06
121,100,2016-06-30 01:22:54.066,1467274974.07,1467274974.07
122,100,2016-06-30 01:22:58.567,1467274978.57,1467274978.57
123,100,2016-06-30 01:22:59.233,1467274979.23,1467274979.23
124,100,2016-06-30 01:23:00.900,1467274980.9,1467274980.9
125,100,2016-06-30 01:23:05.703,1467274985.7,1467274985.7
126,100,2016-06-30 01:23:05.869,1467274985.87,1467274985.87
127,100,2016-06-30 01:23:14.686,1467274994.69,1467274994.69
128,100,2016-06-30 01:23:14.687,1467274994.69,1467274994.69
129,100,2016-06-30 01:23:31.673,1467275011.67,1467275011.67
130,100,2016-06-30 01:23:31.676,1467275011.68,1467275011.68
131,100,2016-06-30 01:23:31.821,1467275011.82,1467275011.82
132,100,2016-06-30 01:23:31.873,1467275011.87,1467275011.87
133,100,2016-06-30 01:23:34.372,1467275014.37,1467275014.37
134,100,2016-06-30 01:23:35.102,1467275015.1,1467275015.1
135,100,2016-06-30 01:23:35.116,1467275015.12,1467275015.12
136,100,2016-06-30 01:23:39.552,1467275019.55,1467275019.55
137,100,2016-06-30 01:23:40.412,1467275020.41,1467275020.41
138,100,2016-06-30 01:23:41.886,1467275021.89,1467275021.89
139,100,2016-06-30 01:23:46.691,1467275026.69,1467275026.69
140,100,2016-06-30 01:23:46.692,1467275026.69,1467275026.69
141,100,2016-06-30 01:23:47.645,1467275027.64,1467275027.64
142,100,2016-06-30 01:23:48.492,1467275028.49,1467275028.49
143,100,2016-06-30 01:23:54.684,1467275034.68,1467275034.68
144,100,2016-06-30 01:23:54.686,1467275034.69,1467275034.69
145,100,2016-06-30 01:24:10.702,1467275050.7,1467275050.7
146,100,2016-06-30 01:24:10.869,1467275050.87,1467275050.87
147,100,2016-06-30 01:24:11.293,1467275051.29,1467275051.29
148,100,2016-06-30 01:24:11.294,1467275051.29,1467275051.29
149,100,2016-06-30 01:24:11.437,1467275051.44,1467275051.44
150,100,2016-06-30 01:24:11.462,1467275051.46,1467275051.46
151,100,2016-06-30 01:24:24.631,1467275064.63,1467275064.63
152,100,2016-06-30 01:24:25.449,1467275065.45,1467275065.45
153,100,2016-06-30 01:28:18.656,1467275298.66,1467275298.66
154,100,2016-06-30 01:28:18.662,1467275298.66,1467275298.66
155,100,2016-06-30 01:28:18.674,1467275298.67,1467275298.67
156,100,2016-06-30 01:31:16.716,1467275476.72,1467275476.72
157,100,2016-06-30 01:31:17.613,1467275477.61,1467275477.61
158,100,2016-06-30 01:31:17.616,1467275477.62,1467275477.62
