,battery_level_pct,local_dt,metadata_write_ts,ts
0,99,2016-08-01 19:18:07.203,1470104287.2,1470104287.2
1,99,2016-08-01 19:18:08.728,1470104288.73,1470104288.73
2,99,2016-08-01 19:18:09.656,1470104289.66,1470104289.66
3,99,2016-08-01 19:18:23.612,1470104303.61,1470104303.61
4,99,2016-08-01 19:18:27.003,1470104307.0,1470104307.0
5,99,2016-08-01 19:18:30.548,1470104310.55,1470104310.55
6,99,2016-08-01 19:18:31.144,1470104311.14,1470104311.14
7,99,2016-08-01 19:18:32.677,1470104312.68,1470104312.68
8,97,2016-08-01 19:19:00.490,1470104340.49,1470104340.49
9,97,2016-08-01 19:19:00.693,1470104340.69,1470104340.69
10,97,2016-08-01 19:19:01.421,1470104341.42,1470104341.42
11,97,2016-08-01 19:19:03.517,1470104343.52,1470104343.52
12,97,2016-08-01 19:19:12.637,1470104352.64,1470104352.64
13,97,2016-08-01 19:19:15.489,1470104355.49,1470104355.49
14,97,2016-08-01 19:19:17.116,1470104357.12,1470104357.12
15,97,2016-08-01 19:19:17.912,1470104357.91,1470104357.91
16,95,2016-08-01 19:20:07.170,1470104407.17,1470104407.17
17,95,2016-08-01 19:20:07.195,1470104407.19,1470104407.19
18,93,2016-08-01 19:21:07.261,1470104467.26,1470104467.26
19,91,2016-08-01 19:22:10.897,1470104530.9,1470104530.9
20,90,2016-08-01 19:23:00.927,1470104580.93,1470104580.93
21,89,2016-08-01 19:23:50.966,1470104630.97,1470104630.97
22,87,2016-08-01 19:24:40.986,1470104680.99,1470104680.99
23,86,2016-08-01 19:25:31.009,1470104731.01,1470104731.01
24,85,2016-08-01 19:26:21.034,1470104781.03,1470104781.03
25,83,2016-08-01 19:27:11.058,1470104831.06,1470104831.06
26,82,2016-08-01 19:28:01.749,1470104881.75,1470104881.75
27,81,2016-08-01 19:28:51.779,1470104931.78,1470104931.78
28,80,2016-08-01 19:29:41.811,1470104981.81,1470104981.81
29,78,2016-08-01 19:30:35.207,1470105035.21,1470105035.21
30,77,2016-08-01 19:31:25.231,1470105085.23,1470105085.23
31,76,2016-08-01 19:32:15.253,1470105135.25,1470105135.25
32,75,2016-08-01 19:33:05.275,1470105185.28,1470105185.28
33,74,2016-08-01 19:33:55.300,1470105235.3,1470105235.3
34,72,2016-08-01 19:34:45.323,1470105285.32,1470105285.32
35,71,2016-08-01 19:35:35.356,1470105335.36,1470105335.36
36,70,2016-08-01 19:36:29.288,1470105389.29,1470105389.29
37,70,2016-08-01 19:36:29.316,1470105389.32,1470105389.32
38,69,2016-08-01 19:37:19.310,1470105439.31,1470105439.31
39,68,2016-08-01 19:38:09.349,1470105489.35,1470105489.35
40,67,2016-08-01 19:38:59.387,1470105539.39,1470105539.39
41,66,2016-08-01 19:39:49.413,1470105589.41,1470105589.41
42,65,2016-08-01 19:40:39.437,1470105639.44,1470105639.44
43,63,2016-08-01 19:41:47.875,1470105707.88,1470105707.88
44,63,2016-08-01 19:41:47.919,1470105707.92,1470105707.92
45,62,2016-08-01 19:42:37.900,1470105757.9,1470105757.9
46,61,2016-08-01 19:43:38.924,1470105818.92,1470105818.92
47,60,2016-08-01 19:44:28.946,1470105868.95,1470105868.95
48,59,2016-08-01 19:45:18.968,1470105918.97,1470105918.97
49,58,2016-08-01 19:46:08.994,1470105968.99,1470105968.99
50,57,2016-08-01 19:47:03.308,1470106023.31,1470106023.31
51,56,2016-08-01 19:47:54.172,1470106074.17,1470106074.17
52,56,2016-08-01 19:48:09.931,1470106089.93,1470106089.93
53,56,2016-08-01 19:48:11.390,1470106091.39,1470106091.39
54,55,2016-08-01 19:48:44.199,1470106124.2,1470106124.2
55,54,2016-08-01 19:50:24.301,1470106224.3,1470106224.3
56,53,2016-08-01 19:51:14.323,1470106274.32,1470106274.32
57,52,2016-08-01 19:52:13.198,1470106333.2,1470106333.2
58,51,2016-08-01 19:53:03.218,1470106383.22,1470106383.22
59,50,2016-08-01 19:53:54.172,1470106434.17,1470106434.17
60,49,2016-08-01 19:54:44.197,1470106484.2,1470106484.2
61,48,2016-08-01 19:55:34.228,1470106534.23,1470106534.23
62,47,2016-08-01 19:56:24.255,1470106584.26,1470106584.26
63,46,2016-08-01 19:58:04.303,1470106684.3,1470106684.3
64,45,2016-08-01 19:58:54.332,1470106734.33,1470106734.33
65,44,2016-08-01 19:59:44.358,1470106784.36,1470106784.36
66,43,2016-08-01 20:00:34.411,1470106834.41,1470106834.41
67,42,2016-08-01 20:01:24.431,1470106884.43,1470106884.43
68,41,2016-08-01 20:02:14.464,1470106934.46,1470106934.46
69,40,2016-08-01 20:03:04.487,1470106984.49,1470106984.49
70,39,2016-08-01 20:03:54.509,1470107034.51,1470107034.51
71,38,2016-08-01 20:04:44.546,1470107084.55,1470107084.55
72,37,2016-08-01 20:05:34.575,1470107134.58,1470107134.58
73,36,2016-08-01 20:06:38.539,1470107198.54,1470107198.54
74,35,2016-08-01 20:07:28.569,1470107248.57,1470107248.57
75,33,2016-08-01 20:09:18.025,1470107358.03,1470107358.03
76,32,2016-08-01 20:10:18.034,1470107418.03,1470107418.03
77,31,2016-08-01 20:11:08.053,1470107468.05,1470107468.05
78,30,2016-08-01 20:11:58.077,1470107518.08,1470107518.08
79,29,2016-08-01 20:12:48.098,1470107568.1,1470107568.1
80,27,2016-08-01 20:13:51.219,1470107631.22,1470107631.22
81,26,2016-08-01 20:14:41.237,1470107681.24,1470107681.24
