current,start_time,end_time
-4.71E-02,2016:08:05:12:24:55,2016:08:05:14:23:56
-4.80E-01,,
-4.11E-01,,
-4.01E-01,,
-4.04E-01,,
-4.01E-01,,
-4.01E-01,,
-4.02E-01,,
-4.02E-01,,
-4.02E-01,,
-4.02E-01,,
-4.03E-01,,
-4.00E-01,,
-4.02E-01,,
-4.01E-01,,
-4.02E-01,,
-4.02E-01,,
-4.02E-01,,
-4.02E-01,,
-4.02E-01,,
-4.04E-01,,
-4.02E-01,,
-4.02E-01,,
-4.04E-01,,
-4.03E-01,,
-4.02E-01,,
-4.03E-01,,
-4.03E-01,,
-4.03E-01,,
-4.04E-01,,
-4.07E-01,,
-4.04E-01,,
-4.07E-01,,
-4.06E-01,,
-4.04E-01,,
-4.04E-01,,
-4.04E-01,,
-4.04E-01,,
-4.05E-01,,
-4.03E-01,,
-4.04E-01,,
-4.04E-01,,
-4.04E-01,,
-4.04E-01,,
-4.03E-01,,
-4.04E-01,,
-4.04E-01,,
-4.04E-01,,
-4.03E-01,,
-4.04E-01,,
-4.05E-01,,
-4.04E-01,,
-4.04E-01,,
-4.05E-01,,
-4.04E-01,,
-4.04E-01,,
-4.04E-01,,
-4.03E-01,,
-4.06E-01,,
-4.05E-01,,
-4.04E-01,,
-4.05E-01,,
-4.05E-01,,
-4.05E-01,,
-4.38E-01,,
-4.29E-01,,
-4.53E-01,,
-4.09E-01,,
-4.08E-01,,
-4.05E-01,,
-4.08E-01,,
-4.07E-01,,
-4.06E-01,,
-4.06E-01,,
-4.07E-01,,
-4.06E-01,,
-4.06E-01,,
-4.06E-01,,
-4.04E-01,,
-4.05E-01,,
-4.05E-01,,
-4.04E-01,,
-4.04E-01,,
-4.05E-01,,
-4.07E-01,,
-4.05E-01,,
-4.07E-01,,
-4.07E-01,,
-4.06E-01,,
-4.05E-01,,
-4.07E-01,,
-4.06E-01,,
-4.05E-01,,
-4.06E-01,,
-4.05E-01,,
-4.06E-01,,
-4.05E-01,,
-4.06E-01,,
-4.06E-01,,
-4.05E-01,,
-4.05E-01,,
-4.08E-01,,
-4.08E-01,,
-4.06E-01,,
-4.05E-01,,
-4.06E-01,,
-4.06E-01,,
-4.06E-01,,
-4.05E-01,,
-4.07E-01,,
-4.05E-01,,
-4.05E-01,,
-4.06E-01,,
-4.05E-01,,
-4.05E-01,,
-4.07E-01,,
-4.07E-01,,
-4.05E-01,,
-4.09E-01,,
-4.07E-01,,
-4.05E-01,,
-4.06E-01,,
-4.05E-01,,
-4.06E-01,,
-4.06E-01,,
-4.10E-01,,
-4.05E-01,,
-4.08E-01,,
-4.06E-01,,
-4.07E-01,,
-4.07E-01,,
-4.07E-01,,
-4.07E-01,,
-4.06E-01,,
-4.07E-01,,
-4.06E-01,,
-4.09E-01,,
-4.06E-01,,
-4.07E-01,,
-4.10E-01,,
-4.07E-01,,
-4.07E-01,,
-4.07E-01,,
-4.07E-01,,
