voltage,start_time,end_time
4.16E+00,2016:08:04:18:40:44,2016:08:04:21:05:01
4.08E+00,,
4.06E+00,,
4.07E+00,,
4.06E+00,,
4.06E+00,,
4.06E+00,,
4.06E+00,,
4.06E+00,,
4.06E+00,,
4.06E+00,,
4.05E+00,,
4.05E+00,,
4.05E+00,,
4.05E+00,,
4.04E+00,,
4.04E+00,,
4.04E+00,,
4.04E+00,,
4.04E+00,,
4.04E+00,,
4.04E+00,,
4.04E+00,,
4.04E+00,,
4.04E+00,,
4.04E+00,,
4.04E+00,,
4.04E+00,,
4.03E+00,,
4.03E+00,,
4.03E+00,,
4.03E+00,,
4.03E+00,,
4.03E+00,,
4.03E+00,,
4.03E+00,,
4.03E+00,,
4.03E+00,,
4.03E+00,,
4.03E+00,,
4.03E+00,,
4.03E+00,,
4.03E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.02E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.01E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
4.00E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.99E+00,,
3.98E+00,,
3.99E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
3.98E+00,,
