time,voltage,battery_level
7:18:30,3.88,100
7:22:00,3.87,93
7:23:40,3.86,89
7:25:30,3.85,86
7:27:30,3.84,83
7:29:30,3.83,81
7:31:30,3.82,77
7:33:30,3.815,75
7:35:30,3.81,72
7:37:30,3.8,69
7:39:30,3.79,67
7:41:30,3.785,65
7:43:30,3.78,62
7:45:30,3.775,59
7:47:30,3.76,57
7:49:30,3.755,55
7:51:30,3.75,53
7:53:30,3.745,51
7:55:30,3.735,49
7:57:30,3.73,47
7:59:30,3.72,45
8:01:30,3.71,42
8:03:30,3.7,40
8:05:30,3.69,37
8:07:30,3.68,35
8:09:30,3.67,33
8:11:30,3.665,31
8:13:30,3.66,29
8:15:30,3.65,26
8:17:30,3.645,23
8:19:30,3.64,21
8:21:30,3.635,18
8:23:30,3.63,15
8:25:30,3.625,12
8:27:30,3.62,11
8:29:30,3.62,8
8:31:30,3.61,6
8:33:30,3.61,4
8:35:30,3.605,2
8:37:30,3.6,1
8:38:00,3.595,0
