time,voltage,current
781,3.69571,0.0285523
782,3.69577,0.0284835
783,3.69578,0.0283082
784,3.6958,0.0281274
785,3.69577,0.0285569
786,3.69568,0.028671
787,3.69581,0.0282378
788,3.69584,0.0280378
789,3.69613,0.0274535
790,3.69597,0.0276505
791,3.69601,0.0279895
792,3.69571,0.0286673
793,3.69573,0.02766
794,3.69612,0.0282544
795,3.69628,0.201781
796,3.69578,0.0274156
797,3.69583,0.0280387
798,3.69566,0.0274639
799,3.69605,0.0271883
800,3.69586,0.0271813
801,3.69579,0.0275716
802,3.69576,0.0276202
803,3.69603,0.0265827
804,3.69583,0.0269552
805,3.69582,0.0277533
806,3.69581,0.0277132
807,3.69585,0.0275499
808,3.69574,0.0273709
809,3.69604,0.027229
810,3.69582,0.0271522
811,3.6961,0.0265811
812,3.69574,0.0264979
813,3.69581,0.0266016
814,3.69568,0.0271935
815,3.69587,0.0277243
816,3.69607,0.0267068
817,3.69612,0.0266319
818,3.69568,0.026787
819,3.69576,0.0499594
820,3.69584,0.0272587
821,3.69564,0.0272715
822,3.69583,0.0275239
823,3.69598,0.0268338
824,3.6958,0.0269528
825,3.69616,0.0269347
826,3.69619,0.0266298
827,3.69569,0.0273933
828,3.6956,0.0276894
829,3.69586,0.0277383
830,3.69572,0.0272957
831,3.69568,0.0268751
832,3.69569,0.0262713
833,3.6958,0.0263701
834,3.6958,0.0269577
835,3.69582,0.0274951
836,3.69579,0.0271825
837,3.6957,0.0281553
838,3.69579,0.0273556
839,3.69586,0.0272538
840,3.69571,0.0271847
841,3.69596,0.0266992
842,3.69594,0.0269344
843,3.69585,0.026612
844,3.69578,0.0278252
845,3.69578,0.027957
846,3.69583,0.0272449
847,3.69609,0.0273416
848,3.69579,0.0268583
849,3.69574,0.0273113
850,3.69595,0.0266395
851,3.69585,0.027374
852,3.69584,0.0275016
853,3.69601,0.0274389
854,3.69613,0.0272602
855,3.69616,0.0276903
856,3.69568,0.0273728
857,3.69579,0.026612
858,3.69564,0.0271103
859,3.69605,0.0269577
860,3.69574,0.0276983
861,3.69569,0.0272749
862,3.69615,0.0267405
863,3.69616,0.027538
864,3.69577,0.0279965
865,3.69608,0.0271229
866,3.69589,0.027887
867,3.69606,0.027589
868,3.69581,0.0271941
869,3.69571,0.0274165
870,3.69578,0.0463343
871,3.69579,0.0273997
872,3.69575,0.0276768
873,3.69593,0.345271
874,3.69571,0.0272819
875,3.69604,0.0279671
876,3.69574,0.0277879
877,3.69572,0.0274434
878,3.69613,0.0271795
879,3.69623,0.026564
880,3.69564,0.0276007
881,3.69564,0.0276958
882,3.69585,0.0276086
883,3.69572,0.0275432
884,3.6957,0.0275061
885,3.69615,0.0271902
886,3.69593,0.0267374
887,3.69573,0.0271541
888,3.69603,0.0266928
889,3.69584,0.0288919
890,3.69573,0.0272489
891,3.69583,0.0270559
892,3.69579,0.0271755
893,3.69584,0.0280173
894,3.69586,0.0277086
895,3.69591,0.0271134
896,3.69576,0.087245
897,3.69598,0.0270516
898,3.69584,0.0264312
899,3.6957,0.0269806
900,3.69609,0.0269106
901,3.69627,0.0270926
902,3.69575,0.0274343
903,3.69566,0.0284761
904,3.69617,0.0264422
905,3.69618,0.0275444
906,3.69576,0.0265912
907,3.69596,0.027344
908,3.69587,0.0273795
909,3.69608,0.0276478
910,3.69572,0.0274306
911,3.69607,0.027274
912,3.69631,0.0272238
913,3.69613,0.0273125
914,3.69574,0.0272137
915,3.69604,0.0273556
916,3.69574,0.0264906
917,3.69575,0.0267182
918,3.69587,0.0272467
919,3.69578,0.0271577
920,3.69574,0.0268956
921,3.69576,0.0271192
922,3.69564,0.0273627
923,3.69576,0.0281602
924,3.69571,0.0274685
925,3.69615,0.0276285
926,3.69576,0.0273924
927,3.69588,0.0269372
928,3.69569,0.0279047
929,3.69617,0.0266867
930,3.69598,0.0270283
931,3.69568,0.0267683
932,3.69622,0.0276888
933,3.69578,0.0276811
934,3.69577,0.0277056
935,3.69575,0.0269448
936,3.69619,0.0274691
937,3.69576,0.0273633
938,3.69576,0.0275205
939,3.69596,0.027218
940,3.69577,0.0497193
941,3.69572,0.0276915
942,3.69624,0.201973
943,3.6961,0.0282749
944,3.69574,0.027151
945,3.69613,0.0274508
946,3.69568,0.0271473
947,3.6956,0.0283339
948,3.69563,0.0277515
949,3.69577,0.0277524
950,3.69572,0.027824
951,3.69586,0.027604
952,3.69585,0.0279301
953,3.69568,0.0278772
954,3.69581,0.0500283
955,3.69589,0.0282871
956,3.69577,0.0284223
957,3.69574,0.0280721
958,3.69582,0.0281852
959,3.69571,0.0281023
960,3.69581,0.0274073
961,3.69579,0.0281265
962,3.69589,0.0271421
963,3.69562,0.0279616
964,3.69582,0.0282932
965,3.69571,0.0280014
966,3.69574,0.027854
967,3.69618,0.0271275
968,3.69584,0.0349926
969,3.6957,0.027824
970,3.69581,0.0275117
971,3.69571,0.0283149
972,3.69619,0.0280249
973,3.69588,0.0273743
974,3.69592,0.0278221
975,3.69606,0.0274389
976,3.69609,0.02724
977,3.69618,0.0279895
978,3.69574,0.0281742
979,3.69596,0.0272575
980,3.69582,0.0276004
981,3.69591,0.028184
982,3.69596,0.027876
983,3.69578,0.0285122
984,3.69554,0.0277386
985,3.69565,0.0278151
986,3.69586,0.0278506
987,3.69581,0.0283997
988,3.69579,0.0283749
989,3.69591,0.0279485
990,3.69581,0.0280375
991,3.69616,0.0279616
992,3.69609,0.0280711
993,3.69619,0.0272226
994,3.69574,0.028088
995,3.6958,0.0272415
996,3.69581,0.0271424
997,3.69611,0.0272807
998,3.69584,0.0270363
999,3.6958,0.0275921
1000,3.6961,0.0278096
1001,3.69582,0.0280048
1002,3.69618,0.027032
1003,3.69577,0.0284911
1004,3.69574,0.0278769
1005,3.69613,0.027906
