time,voltage,current
361,3.69601,0.216797
362,3.69564,0.0275741
363,3.69549,0.0263285
364,3.69582,0.0273086
365,3.69584,0.0274202
366,3.69564,0.0270498
367,3.69585,0.0475184
368,3.69558,0.0270005
369,3.69556,0.0276628
370,3.69537,0.0274661
371,3.69549,0.0268427
372,3.69581,0.026286
373,3.69562,0.0265013
374,3.69566,0.0268663
375,3.69554,0.0271657
376,3.69563,0.0269369
377,3.69558,0.0271526
378,3.69553,0.0276665
379,3.69544,0.0270195
380,3.69622,0.201855
381,3.69547,0.070615
382,3.69595,0.0267161
383,3.69558,0.0267956
384,3.69584,0.0271333
385,3.69594,0.0272569
386,3.69552,0.0272535
387,3.69552,0.0273768
388,3.69551,0.0267843
389,3.69552,0.027582
390,3.69603,0.201455
391,3.69614,0.20088
392,3.69569,0.0507435
393,3.69595,0.04823
394,3.69576,0.128518
395,3.69585,0.14561
396,3.69555,0.049132
397,3.69544,0.0583545
398,3.69561,0.0333656
399,3.6955,0.0263664
400,3.69551,0.0269198
401,3.69557,0.0264726
402,3.69558,0.0274771
403,3.69563,0.0265674
404,3.69564,0.0288787
405,3.69552,0.0283777
406,3.69559,0.0280635
407,3.69585,0.0286995
408,3.69554,0.0272006
409,3.69552,0.0353356
410,3.69554,0.0267167
411,3.69551,0.0269996
412,3.6955,0.0300485
413,3.69572,0.0293058
414,3.69556,0.0300916
415,3.69557,0.0296181
416,3.69545,0.0295976
417,3.69555,0.0272749
418,3.69553,0.0299585
419,3.69587,0.026605
420,3.69575,0.0264187
421,3.69601,0.104689
422,3.69587,0.0272165
423,3.69581,0.0273563
424,3.6956,0.0298876
425,3.69552,0.0278066
426,3.6956,0.0270874
427,3.69601,0.0262615
428,3.69577,0.0268971
429,3.69559,0.0272205
430,3.69544,0.0270082
431,3.69554,0.0278335
432,3.6955,0.0276854
433,3.69561,0.0270889
434,3.69551,0.0264998
435,3.69553,0.0265191
436,3.69558,0.0261526
437,3.69546,0.0263946
438,3.696,0.0263478
439,3.6955,0.0260981
440,3.69574,0.0261095
441,3.69553,0.0273297
442,3.69602,0.0266249
443,3.69551,0.0274658
444,3.6955,0.0273343
445,3.69555,0.0269638
446,3.69575,0.0275508
447,3.69566,0.0259602
448,3.69551,0.0265579
449,3.69589,0.0270706
450,3.69559,0.0271804
451,3.69544,0.0567069
452,3.69566,0.110596
453,3.69548,0.0587858
454,3.69561,0.0635397
455,3.6955,0.0494496
456,3.69578,0.0597304
457,3.69541,0.0537012
458,3.69556,0.048962
459,3.69549,0.034164
460,3.69541,0.0277616
461,3.69551,0.0281847
462,3.69546,0.028344
463,3.69551,0.0272924
464,3.69575,0.027635
465,3.69591,0.0270694
466,3.69586,0.0276686
467,3.69558,0.0274946
468,3.6955,0.0268454
469,3.69543,0.0281981
470,3.6956,0.027675
471,3.6959,0.0275083
472,3.69566,0.0271777
473,3.69586,0.0275814
474,3.69558,0.0277815
475,3.69559,0.0276861
476,3.69549,0.0275178
477,3.69557,0.0277524
478,3.69579,0.0281085
479,3.69546,0.0300632
480,3.69554,0.0276726
481,3.69589,0.0485518
482,3.69578,0.0488708
483,3.6956,0.0486588
484,3.69554,0.0266298
