time,voltage,current
0,3.69615,0.175429
1,3.69587,0.0494299
2,3.69581,0.053156
3,3.69641,0.145829
4,3.69582,0.0982563
5,3.69585,0.0486104
6,3.69601,0.0333402
7,3.6961,0.0279586
8,3.69581,0.0274165
9,3.6959,0.0268681
10,3.69611,0.0269433
11,3.69569,0.0272657
12,3.69577,0.0277022
13,3.69582,0.0270849
14,3.69574,0.0273
15,3.69571,0.027389
16,3.69608,0.0275765
17,3.69585,0.0272746
18,3.69611,0.0272229
19,3.69579,0.0274395
20,3.69575,0.0277243
21,3.69588,0.0270644
22,3.69566,0.0278524
23,3.69598,0.0273085
24,3.69578,0.0275297
25,3.69588,0.0275006
26,3.69588,0.0268124
27,3.69618,0.170277
28,3.69578,0.0489479
29,3.69621,0.0276108
30,3.69599,0.0280283
31,3.69581,0.0275089
32,3.69579,0.0273887
33,3.69588,0.0270335
34,3.69604,0.0265634
35,3.6957,0.0275615
36,3.69574,0.0281011
37,3.69576,0.0276661
38,3.69587,0.0274749
39,3.69594,0.0268313
40,3.69618,0.0269295
41,3.69611,0.0275156
42,3.69602,0.0274086
43,3.69577,0.0272951
44,3.69578,0.0274805
45,3.69613,0.0274792
46,3.69618,0.202405
47,3.69614,0.028173
48,3.69582,0.0269953
49,3.69591,0.0282586
50,3.69576,0.0284994
51,3.69573,0.0280409
52,3.69608,0.0276071
53,3.69578,0.0273281
54,3.69578,0.0284511
55,3.69583,0.0279237
56,3.69584,0.0281167
57,3.69581,0.177363
58,3.69585,0.0494994
59,3.69582,0.0885264
60,3.69604,0.0750578
61,3.69579,0.0329994
62,3.69587,0.0488448
63,3.69574,0.048902
64,3.6962,0.0482602
65,3.6957,0.0336421
66,3.69573,0.0336406
67,3.69576,0.0276206
68,3.69607,0.0272128
69,3.69573,0.0277016
70,3.69571,0.0277383
71,3.69604,0.0265016
72,3.69606,0.0268827
73,3.696,0.0275591
74,3.69582,0.0272348
75,3.69573,0.0265141
76,3.69572,0.0273697
77,3.69578,0.0279157
78,3.69574,0.0273431
79,3.69601,0.0266683
80,3.69618,0.0265695
81,3.69579,0.0273489
82,3.6958,0.0268889
83,3.69574,0.0271966
84,3.69574,0.0276098
85,3.69595,0.0268436
86,3.69622,0.0268965
87,3.6958,0.0272636
88,3.69623,0.203507
89,3.69581,0.0271449
90,3.69569,0.0271146
91,3.69568,0.0281418
92,3.69566,0.0271837
93,3.69595,0.0266484
94,3.69574,0.0287123
95,3.69575,0.0280188
96,3.69586,0.0270198
97,3.69599,0.0295165
98,3.69581,0.0275624
99,3.69622,0.0272721
100,3.6958,0.0274061
101,3.69611,0.0266607
102,3.69577,0.0276404
103,3.69575,0.0272474
104,3.69578,0.0276664
105,3.69583,0.0266802
106,3.69583,0.027631
107,3.69575,0.0271755
108,3.69573,0.0277132
109,3.69627,0.0271091
110,3.69568,0.0280858
111,3.69581,0.0469972
112,3.69574,0.027374
113,3.69565,0.0276573
114,3.69572,0.0280066
115,3.69609,0.0272446
116,3.69588,0.0274376
117,3.69573,0.183682
118,3.69584,0.0490451
119,3.69594,0.051551
120,3.69568,0.0524403
121,3.69575,0.0510445
122,3.69583,0.0644408
