time,voltage,current
0,3.69587,0.028031
1,3.6958,0.0280702
2,3.69617,0.0285771
3,3.69602,0.0274021
4,3.69584,0.0278239
5,3.69593,0.0270044
6,3.69617,0.0283629
7,3.69586,0.0275352
8,3.69583,0.027701
9,3.69575,0.0272745
10,3.6958,0.028685
11,3.69608,0.0280252
12,3.69586,0.028414
13,3.6957,0.0280289
14,3.69612,0.0277573
15,3.6959,0.0273727
16,3.69574,0.0286104
17,3.69569,0.0279139
18,3.69571,0.0280133
19,3.69581,0.027678
20,3.69606,0.0284296
21,3.6959,0.0286199
22,3.69582,0.0286603
23,3.6958,0.0286193
24,3.6962,0.0274241
25,3.69575,0.0269035
26,3.69586,0.028262
27,3.69589,0.0279934
28,3.69594,0.0283351
29,3.69583,0.0273556
30,3.69607,0.0270785
31,3.69586,0.027949
32,3.6958,0.027942
33,3.69586,0.0270503
34,3.69582,0.0274627
35,3.69609,0.0277316
36,3.69611,0.0277591
37,3.69573,0.028277
38,3.69575,0.0308248
39,3.69583,0.0280093
40,3.696,0.0273033
41,3.69572,0.0282598
42,3.69576,0.0272663
43,3.69583,0.0277031
44,3.69585,0.0270473
45,3.69577,0.0276679
46,3.69606,0.0277
47,3.69577,0.0271559
48,3.6962,0.028224
49,3.69575,0.0272776
50,3.69579,0.0273486
51,3.69573,0.0279983
52,3.69604,0.0280775
53,3.69579,0.0282516
54,3.69585,0.0281678
55,3.69602,0.0280552
56,3.69576,0.0272883
57,3.69579,0.0300105
58,3.69602,0.0279958
59,3.69571,0.0279989
60,3.69583,0.0274728
61,3.69584,0.0277924
62,3.69608,0.0270837
63,3.69573,0.0281509
64,3.69588,0.0277517
65,3.6957,0.0282534
66,3.69578,0.0278117
67,3.69569,0.0276673
68,3.69578,0.0279255
69,3.6959,0.0287074
70,3.6961,0.0282161
71,3.69573,0.0281002
72,3.69573,0.0281142
73,3.69576,0.0282253
74,3.69605,0.026805
75,3.69599,0.0272565
76,3.69597,0.0279989
77,3.69598,0.0279371
78,3.69568,0.0282663
79,3.69579,0.0271941
80,3.69585,0.0274902
81,3.6962,0.0283385
82,3.69579,0.0272797
83,3.69584,0.0269237
84,3.69615,0.0275679
85,3.69563,0.0331043
