time,voltage,current
601,3.69612,0.0271569
602,3.69656,0.0279654
603,3.69625,0.0278253
604,3.69614,0.0274035
605,3.69623,0.0275157
606,3.69651,0.0263105
607,3.69624,0.0279119
608,3.69598,0.0266091
609,3.69661,0.0273108
610,3.69622,0.0275827
611,3.69614,0.0270257
612,3.69607,0.0276427
613,3.69659,0.0279489
614,3.6963,0.0280639
615,3.69602,0.0272505
616,3.69617,0.02703
617,3.69654,0.0269807
618,3.6965,0.0266033
619,3.69627,0.0278617
620,3.69625,0.0274243
621,3.69613,0.027208
622,3.69674,0.0270022
623,3.69617,0.0270086
624,3.69672,0.0271162
625,3.69647,0.0268036
626,3.69665,0.0271658
627,3.69665,0.0304138
628,3.69604,0.0269021
629,3.69643,0.0269382
630,3.69657,0.0266161
631,3.69675,0.0269703
632,3.69608,0.0275913
633,3.69615,0.0277351
634,3.69671,0.0275573
635,3.69624,0.0272316
636,3.69593,0.0269489
637,3.69625,0.0275625
638,3.69611,0.0269428
639,3.69631,0.0271679
640,3.69642,0.0266079
641,3.69664,0.0274677
642,3.6967,0.0261912
643,3.69657,0.0270379
644,3.69685,0.0270906
645,3.69665,0.0262496
646,3.69614,0.0278804
647,3.69602,0.0274185
648,3.69622,0.0277666
649,3.69603,0.0273408
650,3.69609,0.0378565
651,3.69675,0.0276421
652,3.69666,0.0273347
653,3.69598,0.0274558
654,3.69586,0.0274696
655,3.69585,0.0274047
656,3.69661,0.0259095
657,3.69619,0.027123
658,3.69626,0.0260881
659,3.69608,0.0272013
660,3.69615,0.0269312
661,3.69621,0.0267385
662,3.69654,0.0271285
663,3.69649,0.0264402
664,3.69623,0.0266235
665,3.69625,0.0275558
666,3.69631,0.0268357
667,3.69617,0.0271955
668,3.69626,0.0261141
669,3.69609,0.0273533
670,3.69662,0.0263439
671,3.69635,0.0271144
672,3.69626,0.0272698
673,3.69607,0.0274971
674,3.69661,0.0271927
675,3.69674,0.0264356
676,3.69602,0.027851
677,3.69592,0.0276048
678,3.69602,0.0473417
679,3.69604,0.0275072
680,3.69604,0.02781
681,3.69607,0.0279969
682,3.69606,0.0277699
683,3.69619,0.0275815
684,3.69643,0.0274252
685,3.69607,0.026963
686,3.69616,0.027305
687,3.69605,0.0264558
688,3.69609,0.0264335
689,3.69605,0.0261882
690,3.69675,0.0276412
691,3.69634,0.0270569
692,3.69647,0.0280862
693,3.69621,0.0266143
694,3.69607,0.0276323
695,3.69606,0.0273227
696,3.69601,0.0274267
697,3.69651,0.0263322
698,3.69594,0.0277666
699,3.69661,0.0273111
700,3.69631,0.0273974
701,3.69626,0.0262203
702,3.69615,0.0266118
703,3.69628,0.027795
704,3.69653,0.0271716
705,3.69659,0.0263047
706,3.69603,0.0271995
707,3.69662,0.0263613
708,3.6965,0.0276659
709,3.69608,0.0271906
710,3.69616,0.0274221
711,3.69604,0.0271068
712,3.69614,0.0270636
713,3.69651,0.0273276
714,3.69648,0.0272567
715,3.69597,0.0277131
716,3.69602,0.0272845
717,3.69598,0.0271762
718,3.69607,0.0271447
719,3.69613,0.0275745
720,3.69627,0.0362686
721,3.69617,0.0264742
722,3.6965,0.0280064
723,3.69617,0.0272117
724,3.69617,0.0278476
725,3.69624,0.0279688
726,3.69629,0.0270639
727,3.6961,0.0270728
728,3.69622,0.027346
729,3.69605,0.0280119
730,3.69622,0.0271884
731,3.69624,0.0273077
732,3.69603,0.0276623
733,3.69649,0.027528
734,3.69618,0.0264971
735,3.6966,0.0261848
736,3.6962,0.0276485
737,3.69615,0.0275864
738,3.69604,0.0267987
739,3.69624,0.027773
740,3.69615,0.0272946
741,3.69617,0.0267461
742,3.69647,0.0270077
743,3.69625,0.0275479
744,3.69605,0.0277565
745,3.696,0.0269728
746,3.69667,0.179439
747,3.69695,0.276325
748,3.69624,0.048558
749,3.69615,0.0262827
750,3.69614,0.0262184
751,3.69629,0.0270199
752,3.69668,0.0262295
753,3.69666,0.0281385
754,3.69592,0.028022
755,3.69625,0.0272487
756,3.6961,0.0265292
757,3.69623,0.0271658
758,3.69601,0.0273206
759,3.69601,0.0292939
760,3.69613,0.0274778
761,3.69646,0.0287962
762,3.69617,0.0367868
763,3.69659,0.028958
764,3.69669,0.0290431
765,3.69601,0.0289871
766,3.69613,0.026595
767,3.69667,0.0276513
768,3.6964,0.0272144
769,3.69653,0.0296998
770,3.6959,0.0316612
771,3.69599,0.0291122
772,3.69606,0.0293083
773,3.69646,0.0308157
774,3.69644,0.0264592
775,3.69604,0.0276237
776,3.69628,0.0278085
777,3.69618,0.0271254
778,3.69632,0.0274307
779,3.69588,0.0276733
780,3.6962,0.0265892
781,3.6962,0.0272949
782,3.69681,0.027595
783,3.69625,0.0275821
784,3.69655,0.0290697
785,3.69621,0.0277709
786,3.69605,0.0266293
787,3.69616,0.0277482
788,3.69624,0.02787
789,3.69659,0.0275782
790,3.69611,0.0276378
791,3.69611,0.0275849
792,3.69617,0.02755
793,3.6961,0.02791
794,3.69611,0.0271367
795,3.696,0.0276589
796,3.69635,0.0269425
797,3.6965,0.026911
798,3.69616,0.0265669
799,3.69624,0.0391027
800,3.69612,0.0268651
801,3.69651,0.0269284
802,3.69671,0.0275564
803,3.69657,0.0278749
804,3.69626,0.0266755
805,3.6966,0.0268942
806,3.69615,0.0278684
807,3.69603,0.0264892
808,3.69661,0.0271438
809,3.69621,0.0265439
810,3.69623,0.0275889
811,3.69617,0.0271689
812,3.69619,0.0280911
813,3.6963,0.0275231
814,3.69615,0.0275791
815,3.69626,0.0275873
816,3.69601,0.0268048
817,3.69609,0.026818
818,3.69622,0.0277124
819,3.69624,0.0273879
820,3.69598,0.027104
821,3.69652,0.028037
822,3.69639,0.0262515
823,3.69655,0.0264158
824,3.6966,0.0269954
825,3.69601,0.0264099
826,3.69608,0.027706
827,3.696,0.0278483
828,3.69647,0.0273821
829,3.69615,0.0264879
830,3.69634,0.0272983
831,3.69619,0.0267379
832,3.69661,0.0272432
833,3.69601,0.0268786
834,3.69616,0.0270532
835,3.69637,0.0269553
836,3.69678,0.0277008
837,3.69622,0.027257
838,3.69605,0.0269453
839,3.69656,0.0279214
840,3.69602,0.0279917
841,3.69614,0.0273475
842,3.69602,0.0275219
843,3.69624,0.0265819
844,3.69657,0.0275188
845,3.6966,0.02638
846,3.69643,0.0264797
847,3.69618,0.0277911
848,3.69641,0.0278697
849,3.69619,0.0278691
850,3.69598,0.0279116
851,3.69601,0.027996
852,3.69612,0.0263769
853,3.69649,0.0263102
854,3.6962,0.0274001
855,3.69618,0.027305
856,3.69679,0.026365
857,3.69613,0.0274475
858,3.69616,0.028007
859,3.69658,0.0273004
860,3.69605,0.027624
861,3.69611,0.0275497
862,3.69627,0.0269119
863,3.69622,0.0271107
864,3.6962,0.0278045
865,3.69609,0.0275087
866,3.69605,0.0268755
867,3.6967,0.0273701
868,3.69659,0.0272392
869,3.69623,0.0365167
870,3.69681,0.0264347
871,3.69659,0.0280345
872,3.69602,0.027048
873,3.69622,0.0267461
874,3.6962,0.027008
875,3.69617,0.0274809
876,3.69618,0.0269021
877,3.69656,0.026744
878,3.69644,0.0274151
879,3.69614,0.0266819
880,3.69614,0.02693
881,3.69639,0.0271637
882,3.69621,0.0269018
883,3.69657,0.0272282
884,3.69616,0.0263203
885,3.69659,0.0264714
886,3.6966,0.0264794
887,3.69621,0.0266017
888,3.69623,0.0279471
889,3.6962,0.0278076
890,3.69609,0.0268039
891,3.69608,0.027691
892,3.69606,0.0277907
893,3.69593,0.0276191
894,3.69608,0.0272585
895,3.69645,0.0274102
896,3.69611,0.0273353
897,3.69604,0.044173
898,3.69619,0.0276773
899,3.69607,0.0276375
900,3.69602,0.0271517
901,3.69622,0.0271728
902,3.69623,0.0271597
903,3.69661,0.0273212
904,3.69619,0.0270367
905,3.69637,0.0263139
906,3.6963,0.0279122
907,3.69612,0.027108
908,3.69614,0.0266296
909,3.69659,0.0270364
910,3.69615,0.026365
911,3.69656,0.0270841
912,3.69614,0.0265892
913,3.69624,0.027375
914,3.69586,0.0278715
915,3.69653,0.0264457
916,3.69645,0.0267736
917,3.69645,0.0264889
918,3.69631,0.0280911
919,3.69625,0.0267103
920,3.69615,0.041044
921,3.69611,0.0278213
922,3.69619,0.0264674
923,3.69605,0.0273044
924,3.69643,0.0266663
925,3.69612,0.026272
926,3.69621,0.0273328
927,3.69608,0.0276607
928,3.69587,0.0266972
929,3.69608,0.0276874
930,3.69603,0.0277446
931,3.69603,0.0271309
932,3.69613,0.0267788
933,3.696,0.027372
934,3.69617,0.0263537
935,3.69649,0.0264084
936,3.69615,0.0271196
937,3.6962,0.0276696
938,3.69626,0.0273004
939,3.69601,0.0302881
940,3.69619,0.0274166
941,3.69611,0.0276081
942,3.69618,0.0262851
943,3.69616,0.0265773
944,3.69617,0.0271863
945,3.69595,0.0274347
946,3.69623,0.0266498
947,3.69622,0.0269186
948,3.69617,0.0486366
949,3.6961,0.0278473
950,3.6966,0.0273983
951,3.69611,0.0276378
952,3.69608,0.0274888
953,3.69617,0.0276402
954,3.69616,0.0271612
955,3.69625,0.0274956
956,3.69634,0.0281379
957,3.69596,0.028052
958,3.69616,0.0277033
959,3.69614,0.0278565
960,3.69616,0.0280397
961,3.69615,0.0266953
962,3.69666,0.026499
963,3.69657,0.0264907
964,3.69618,0.0276121
965,3.696,0.027357
966,3.69608,0.02742
967,3.69603,0.0273536
968,3.69619,0.0267394
969,3.69617,0.0279351
970,3.69604,0.0271946
971,3.69599,0.0268868
972,3.69664,0.026376
973,3.69608,0.0277779
974,3.69615,0.0269407
975,3.69618,0.0268798
976,3.6962,0.0274665
977,3.6962,0.0272111
978,3.69604,0.0272233
979,3.69608,0.027706
980,3.69599,0.0278611
981,3.69606,0.0273359
982,3.69605,0.0273805
983,3.69639,0.0273313
984,3.69661,0.0266274
985,3.69668,0.0268067
986,3.69604,0.0282117
987,3.69618,0.027658
988,3.69618,0.0280205
989,3.69648,0.0281459
990,3.69617,0.0505665
991,3.69618,0.0267051
992,3.69667,0.027101
993,3.6961,0.0272004
994,3.69662,0.0268067
995,3.69637,0.0273919
996,3.69602,0.0273258
997,3.69619,0.0272634
998,3.69611,0.02797
999,3.696,0.0270538
1000,3.69632,0.0265956
1001,3.69621,0.0267541
1002,3.69631,0.0268538
1003,3.69624,0.0274527
1004,3.69627,0.0264454
1005,3.69601,0.0275968
1006,3.6964,0.0267428
1007,3.69615,0.0272248
1008,3.69622,0.0276708
1009,3.69616,0.0273389
1010,3.69637,0.0270899
1011,3.69616,0.0272998
