time,voltage,current
0,3.69762,0.0621855
1,3.6972,0.0532861
2,3.69751,0.322201
3,3.69789,0.118507
4,3.69721,0.109036
5,3.69788,0.0364539
6,3.69732,0.0403418
7,3.69776,0.0571339
8,3.69755,0.0565466
9,3.69746,0.0572272
10,3.69735,0.0570391
11,3.69796,0.0558822
12,3.69743,0.0568528
13,3.69743,0.0574031
14,3.69746,0.0559192
15,3.69757,0.0677179
16,3.69748,0.0564885
17,3.69756,0.0574267
18,3.69747,0.0575151
19,3.69724,0.0566139
20,3.69747,0.0567714
21,3.69734,0.0561373
22,3.69789,0.0575279
23,3.69745,0.0571954
24,3.69745,0.0565053
25,3.69766,0.0577381
26,3.69737,0.0569017
27,3.69748,0.0571241
28,3.69736,0.0571406
29,3.69782,0.0530505
30,3.69752,0.0300797
31,3.69721,0.0298398
32,3.69799,0.0303568
33,3.698,0.0292103
34,3.69796,0.0291543
35,3.69728,0.0309667
36,3.69725,0.0304917
37,3.69724,0.0302081
38,3.69726,0.0295979
39,3.69721,0.0293828
40,3.69731,0.0301919
41,3.69739,0.0306911
42,3.69745,0.0309609
43,3.6974,0.0298726
44,3.69719,0.0309885
45,3.69737,0.030864
46,3.69746,0.0307902
47,3.69722,0.0302574
48,3.69758,0.0306037
49,3.69734,0.0300163
50,3.69748,0.0295492
51,3.69735,0.0306789
52,3.69764,0.0296545
53,3.698,0.0299423
54,3.69747,0.0305428
55,3.69745,0.0304902
56,3.69794,0.0296398
57,3.69785,0.0521172
58,3.69733,0.0299989
59,3.6974,0.0513314
60,3.69747,0.0520374
61,3.69743,0.0518701
62,3.69728,0.136972
63,3.69776,0.114551
64,3.69736,0.0521215
65,3.69773,0.115028
66,3.69714,0.0520594
67,3.69744,0.0299215
68,3.6973,0.0301647
69,3.69743,0.0303085
70,3.69799,0.0291185
71,3.69728,0.0300738
72,3.69739,0.029039
73,3.69795,0.0289738
74,3.69753,0.0304837
75,3.69743,0.0296168
76,3.69725,0.0291675
77,3.69778,0.0290418
78,3.69793,0.0292666
79,3.69793,0.0291084
80,3.69766,0.0286689
81,3.69779,0.0288738
82,3.69777,0.0297738
83,3.69741,0.0300616
84,3.69755,0.0300243
85,3.69746,0.0528878
86,3.69728,0.0302017
87,3.69789,0.0306657
88,3.69743,0.0292375
89,3.69728,0.0518973
90,3.69751,0.0298539
91,3.69743,0.0293605
92,3.69738,0.0305293
93,3.6976,0.0313097
94,3.69782,0.0306141
95,3.69769,0.0312188
96,3.69762,0.0300423
97,3.69788,0.0287674
98,3.69782,0.0299123
99,3.69794,0.0303235
100,3.69745,0.0302467
101,3.69743,0.0304657
102,3.69764,0.0319334
103,3.69751,0.029823
104,3.69779,0.0324635
105,3.69754,0.0325461
106,3.69756,0.032335
107,3.69753,0.0299607
108,3.69738,0.0285327
109,3.69737,0.0299233
110,3.69723,0.0291975
111,3.69739,0.0306997
112,3.69782,0.0297713
113,3.69747,0.0298383
114,3.6976,0.0303176
115,3.69746,0.0302678
116,3.69715,0.0312206
117,3.69744,0.0299362
118,3.69726,0.123974
119,3.69749,0.137293
120,3.69752,0.0516881
121,3.69798,0.11155
122,3.69775,0.0566344
123,3.69797,0.113295
124,3.69717,0.0777962
125,3.6975,0.108109
126,3.69717,0.0524956
127,3.69763,0.0302341
128,3.69723,0.0307961
129,3.69753,0.0306807
130,3.69743,0.031009
131,3.69795,0.0295492
132,3.69742,0.0297826
133,3.69704,0.0309441
134,3.69733,0.0308129
135,3.69745,0.0300096
136,3.6973,0.0302559
137,3.69788,0.0302916
138,3.69751,0.0304978
139,3.69733,0.0300809
140,3.69735,0.0295569
141,3.69789,0.0309157
142,3.69729,0.0289491
143,3.69753,0.030689
144,3.69731,0.0296933
145,3.6975,0.0295245
146,3.69725,0.0302788
147,3.69787,0.0294361
148,3.69803,0.113709
149,3.69764,0.0859257
150,3.69788,0.0295826
151,3.69772,0.029771
152,3.69744,0.0290564
153,3.69792,0.0297967
154,3.69803,0.0288206
155,3.69817,0.0322558
156,3.69728,0.029399
157,3.69717,0.0302323
158,3.69745,0.0299931
159,3.6974,0.0290118
160,3.69784,0.0289601
161,3.69732,0.0298105
162,3.69729,0.0302237
163,3.6974,0.0294364
164,3.69778,0.0290638
165,3.69748,0.0301295
166,3.69792,0.0288809
167,3.69756,0.029396
168,3.69741,0.0295749
169,3.69781,0.0301203
170,3.6973,0.0297315
171,3.69777,0.0288894
172,3.69751,0.138649
173,3.69752,0.0295003
174,3.69738,0.0295238
175,3.69789,0.0291791
176,3.69726,0.0293718
177,3.69715,0.0302412
178,3.6975,0.180054
179,3.69757,0.233992
180,3.69763,0.0555231
181,3.6975,0.109324
182,3.69774,0.201683
183,3.69792,0.10995
184,3.6979,0.0513488
185,3.69739,0.129972
186,3.69737,0.0515388
187,3.69795,0.0287371
188,3.69779,0.030057
189,3.69728,0.0300393
190,3.69715,0.030172
191,3.69751,0.0291173
192,3.69729,0.0303329
193,3.69731,0.0302604
194,3.69765,0.0296346
195,3.69735,0.0299949
196,3.6976,0.0290497
197,3.69726,0.0296633
198,3.69779,0.0300292
199,3.69759,0.0294205
200,3.69809,0.0298989
201,3.69723,0.0299836
202,3.69718,0.0305318
203,3.69753,0.0293247
204,3.69707,0.0297701
205,3.69756,0.0284312
206,3.69782,0.0295211
207,3.69755,0.0299634
208,3.6981,0.18239
209,3.69781,0.0289512
210,3.69749,0.0299145
211,3.69716,0.0287909
212,3.69745,0.0295682
213,3.69746,0.029682
214,3.69796,0.0293064
215,3.69745,0.0291901
216,3.69728,0.0294269
217,3.6974,0.0301265
218,3.69781,0.030165
219,3.69747,0.0301038
220,3.69743,0.052362
221,3.69742,0.0303412
222,3.69732,0.0286949
223,3.69749,0.0299604
224,3.69738,0.0300215
225,3.69737,0.0299313
226,3.69734,0.0298762
227,3.69726,0.0288787
228,3.69785,0.0297361
229,3.69747,0.0293828
230,3.69727,0.0290564
231,3.69755,0.0297147
232,3.69732,0.0299845
233,3.69731,0.030131
234,3.69732,0.0297328
235,3.6978,0.0295171
236,3.69744,0.0297141
237,3.69739,0.029734
238,3.69785,0.308632
239,3.69806,0.148662
240,3.69811,0.294598
241,3.69802,0.104143
242,3.6976,0.0803605
243,3.69752,0.115875
244,3.69791,0.118845
245,3.69812,0.183809
246,3.69808,0.0365001
247,3.69725,0.0300117
248,3.69723,0.0292724
249,3.69754,0.0307493
250,3.69729,0.0321365
251,3.69719,0.0299625
252,3.69794,0.0293305
253,3.69755,0.0321065
254,3.69731,0.0302158
255,3.69742,0.0305636
256,3.69716,0.0300237
257,3.69738,0.0301436
258,3.69729,0.0296945
259,3.69766,0.0295676
260,3.69742,0.0302534
261,3.69718,0.0308117
262,3.69718,0.0342912
263,3.69804,0.0300017
264,3.69799,0.0307538
265,3.69775,0.029366
266,3.69745,0.0304773
267,3.69747,0.0294149
268,3.6978,0.300149
269,3.69732,0.0286842
270,3.69749,0.03015
271,3.69783,0.0285881
272,3.69786,0.0297371
273,3.69747,0.0289509
274,3.69734,0.0292804
275,3.69738,0.0300133
276,3.69727,0.0302115
277,3.69745,0.0296581
278,3.69742,0.0295526
279,3.69795,0.0289173
280,3.69765,0.0289794
281,3.69774,0.0301145
282,3.69751,0.0287664
283,3.69766,0.0285597
284,3.69799,0.0292082
285,3.69725,0.0302161
286,3.69722,0.0301506
287,3.69806,0.0287224
288,3.69744,0.0295914
289,3.69745,0.0296144
290,3.69749,0.0302231
291,3.69752,0.030295
292,3.69784,0.0291635
293,3.69747,0.0296196
294,3.69729,0.0300111
295,3.69796,0.0291213
296,3.69756,0.0295462
297,3.69759,0.0293226
298,3.69781,0.21545
299,3.69772,0.126804
300,3.69724,0.182179
301,3.69758,0.107928
302,3.69751,0.200114
303,3.6976,0.117461
304,3.69754,0.0635794
305,3.69724,0.0539847
306,3.69788,0.0352634
307,3.69746,0.0294336
308,3.69724,0.0295618
309,3.69738,0.028969
310,3.69731,0.0297658
311,3.69742,0.029333
312,3.6977,0.0299885
313,3.69779,0.0299331
314,3.69755,0.0287741
315,3.69779,0.0288604
316,3.69742,0.029975
317,3.69733,0.0294636
318,3.69756,0.0292329
319,3.69751,0.0293342
320,3.69792,0.0298016
321,3.6973,0.0298126
322,3.6975,0.030243
323,3.69715,0.0300769
324,3.69735,0.0297144
325,3.6974,0.0295768
326,3.69784,0.0292342
327,3.69747,0.0509096
328,3.69776,0.203741
329,3.69735,0.0294691
330,3.69726,0.0294685
331,3.69752,0.0296419
332,3.69732,0.0300225
333,3.69757,0.0296156
334,3.69792,0.0285774
335,3.6974,0.0285734
336,3.69724,0.0289564
337,3.69798,0.0286566
338,3.69731,0.0298692
339,3.69731,0.0299763
340,3.69738,0.0298144
341,3.69752,0.0297184
342,3.69759,0.0286609
343,3.69744,0.0297478
344,3.69756,0.0287074
345,3.69736,0.0300329
346,3.69717,0.0298117
347,3.69752,0.0297447
348,3.698,0.029559
349,3.69728,0.0287496
350,3.69793,0.0286952
351,3.6975,0.0288961
352,3.69726,0.029585
353,3.69781,0.0289359
354,3.69732,0.0302607
355,3.6978,0.0494391
356,3.69791,0.0284918
357,3.69736,0.0298912
358,3.69767,0.20438
359,3.69764,0.110058
360,3.69736,0.0522176
361,3.6974,0.0515627
362,3.69739,0.0567182
363,3.69783,0.116193
364,3.698,0.181499
365,3.69815,0.113638
366,3.69747,0.0539982
367,3.69732,0.0304051
368,3.69728,0.0301369
