time,voltage,current
0,3.69685,0.580231
1,3.69741,0.399906
2,3.69676,0.398383
3,3.69691,0.437273
4,3.69735,0.431443
5,3.69707,0.424992
6,3.69689,0.416992
7,3.69671,0.527811
8,3.69697,0.400963
9,3.69691,0.401466
10,3.6966,0.504106
11,3.69661,0.409773
12,3.69747,0.403143
13,3.6971,0.407413
14,3.69733,0.408685
15,3.69669,0.411336
16,3.69735,0.407144
17,3.69718,0.418869
18,3.69665,0.472278
19,3.69721,0.431487
20,3.69714,0.468787
21,3.69707,0.612334
22,3.6967,0.515544
23,3.69723,0.491117
24,3.69683,0.511719
25,3.69663,0.476125
26,3.6968,0.522934
27,3.69671,0.522976
28,3.69668,0.408345
29,3.69674,0.45232
30,3.69688,0.511787
31,3.69667,0.52424
32,3.6973,0.404329
33,3.69712,0.402597
34,3.69675,0.414478
35,3.69682,0.41825
36,3.69672,0.429971
37,3.69734,0.417833
38,3.69664,0.527476
39,3.69662,0.421907
40,3.69681,0.403415
41,3.69706,0.393474
42,3.69669,0.395237
43,3.69676,0.486919
44,3.69727,0.419765
45,3.69677,0.462556
46,3.69696,0.609563
47,3.69754,0.495585
48,3.69703,0.512536
49,3.69745,0.521846
50,3.69654,0.63736
51,3.6968,0.528057
52,3.69664,0.509562
53,3.69719,0.517668
54,3.69647,0.515907
55,3.69705,0.61793
56,3.69731,0.524417
57,3.69689,0.488338
58,3.69675,0.407969
59,3.69687,0.484574
60,3.69748,0.453474
61,3.69684,0.404057
62,3.69744,0.402217
63,3.69668,0.47726
64,3.69685,0.426291
65,3.6972,0.412458
66,3.69721,0.424033
67,3.69737,0.509316
68,3.69709,0.462846
69,3.69661,0.396888
70,3.69747,0.417422
71,3.69667,0.416519
72,3.69741,0.408383
73,3.69707,0.446401
74,3.69743,0.507119
75,3.69688,0.432469
76,3.69742,0.41055
77,3.69729,0.471241
78,3.69691,0.43187
79,3.69764,0.564241
80,3.6974,0.46702
81,3.69695,0.518857
82,3.6969,0.516786
83,3.69732,0.517033
84,3.69677,0.508509
85,3.69688,0.525557
86,3.69737,0.515099
87,3.69742,0.441967
88,3.69758,0.427122
89,3.69754,0.461681
90,3.69651,0.511478
91,3.69714,0.422214
92,3.69675,0.46539
93,3.6969,0.504919
94,3.69729,0.437272
95,3.69693,0.419999
96,3.69743,0.405316
97,3.69733,0.415359
