key,ts,value
battery_level,1449240600.00,100
battery_level,1449242313.01,96
battery_level,1449244178.49,91
battery_level,1449247696.89,81
battery_level,1449249250.98,79
battery_level,1449251254.60,76
battery_level,1449253274.84,72
battery_level,1449255500.71,68
battery_level,1449257610.87,64
battery_level,1449258865.50,62
battery_level,1449259860.56,59
battery_level,1449261941.87,56
battery_level,1449264123.26,51
battery_level,1449267337.64,45
battery_level,1449269530.46,42
battery_level,1449272210.92,37
battery_level,1449274461.07,32
battery_level,1449276514.19,26
battery_level,1449278994.98,21
battery_level,1449280888.37,15
battery_level,1449282804.54,10
battery_level,1449284303.75,6
battery_level,1449292533.18,99
battery_level,1449327802.21,45
