key,ts,value
battery_level,1449344421.21,100
battery_level,1449346058.27,98
battery_level,1449347445.17,97
battery_level,1449350031.81,95
battery_level,1449351177.08,94
battery_level,1449353783.33,92
battery_level,1449355565.36,91
battery_level,1449358035.45,88
battery_level,1449360197.09,86
battery_level,1449362139.40,84
battery_level,1449364005.06,82
battery_level,1449365528.91,81
battery_level,1449367502.49,79
battery_level,1449369395.97,77
battery_level,1449371079.30,75
battery_level,1449373086.25,73
battery_level,1449375803.89,70
battery_level,1449375803.89,68
battery_level,1449379349.33,66
battery_level,1449417086.49,24
battery_level,1449419362.33,22
battery_level,1449422516.95,78
battery_level,1449424277.91,76
battery_level,1449425398.94,75
battery_level,1449427733.24,73
battery_level,1449430065.18,71
battery_level,1449430962.88,70
battery_level,1449432066.29,69
