key,ts,value
battery_level,1449240600.00,100
battery_level,1449242313.01,99
battery_level,1449244178.49,97
battery_level,1449247696.89,94
battery_level,1449249250.98,93
battery_level,1449251254.60,92
battery_level,1449253274.84,92
battery_level,1449255500.71,92
battery_level,1449257610.87,91
battery_level,1449258865.50,90
battery_level,1449261941.87,90
battery_level,1449264123.26,89
battery_level,1449267337.64,89
battery_level,1449269530.46,89
battery_level,1449272210.92,88
battery_level,1449274461.07,88
battery_level,1449276514.19,87
battery_level,1449278994.98,85
battery_level,1449280888.37,83
battery_level,1449282804.54,82
battery_level,1449284303.75,80
battery_level,1449286741.29,78
battery_level,1449327802.21,73
