,end,key,value
14,1448465466,battery_level,100
15,1448467522,battery_level,100
17,1448469306,battery_level,100
19,1448473189,battery_level,100
21,1448474715,battery_level,100
23,1448476697,battery_level,100
25,1448478300,battery_level,100
27,1448480080,battery_level,100
29,1448481884,battery_level,100
31,1448483620,battery_level,99
33,1448485631,battery_level,97
35,1448487439,battery_level,97
37,1448489095,battery_level,97
39,1448492619,battery_level,96
41,1448496468,battery_level,96
43,1448499916,battery_level,95
45,1448501714,battery_level,94
47,1448503608,battery_level,93
49,1448507149,battery_level,92
51,1448510988,battery_level,89
53,1448551926,battery_level,84
