regime,stat,drain,start,end
geo100m-ma100m,drop_overall,0,,1448410148
geo100m-ma100m,drop_overall,0,1448410148,1448420707
geo100m-ma100m,time_active,25,1448410148,1448420707
geo100m-ma100m,time_active_overall,25,1448410148,1448420707
geo100m-ma100m,drop_overall,2,1448420707,1448426088
geo100m-ma100m,time_active,105,1448420707,1448426088
geo100m-ma100m,time_active_overall,130,1448410148,1448420707
geo100m-ma100m,drop_overall,4,1448426088,1448432434
geo100m-ma100m,time_active,106,1448426088,1448432434
geo100m-ma100m,time_active_overall,236,1448410148,1448420707
geo100m-ma100m,drop_overall,0,,1448435670
geo100m-ma100m,drop_overall,0,1448435670,1448463933
geo100m-ma100m,time_active,9,1448435670,1448463933
geo100m-ma100m,time_active_overall,9,1448410148,1448420707
geo100m-ma100m,drop_overall,0,,1448465466
geo100m-ma100m,drop_overall,0,1448465466,1448467522
geo100m-ma100m,time_active_overall,1,1448465466,1448467522
geo100m-ma100m,drop_overall,0,1448467522,1448469306
geo100m-ma100m,time_active_overall,1,1448467522,1448469306
geo100m-ma100m,drop_overall,0,1448471434,1448473189
geo100m-ma100m,time_active_overall,3,1448471434,1448473189
geo100m-ma100m,drop_overall,0,1448473189,1448474715
geo100m-ma100m,time_active_overall,5,1448473189,1448474715
geo100m-ma100m,drop_overall,0,1448474715,1448476697
geo100m-ma100m,time_active_overall,17,1448474715,1448476697
geo100m-ma100m,drop_overall,0,1448476697,1448478300
geo100m-ma100m,time_active_overall,41,1448476697,1448478300
geo100m-ma100m,drop_overall,0,1448478300,1448480080
geo100m-ma100m,time_active_overall,71,1448478300,1448480080
geo100m-ma100m,drop_overall,0,1448480080,1448481884
geo100m-ma100m,time_active_overall,99,1448480080,1448481884
geo100m-ma100m,drop_overall,1,1448481884,1448483620
geo100m-ma100m,time_active_overall,130,1448481884,1448483620
geo100m-ma100m,drop_overall,3,1448483620,1448485631
geo100m-ma100m,time_active_overall,162,1448483620,1448485631
geo100m-ma100m,drop_overall,3,1448485631,1448487439
geo100m-ma100m,time_active_overall,163,1448485631,1448487439
geo100m-ma100m,drop_overall,3,1448487439,1448489095
geo100m-ma100m,time_active_overall,164,1448487439,1448489095
geo100m-ma100m,drop_overall,4,1448489095,1448492619
geo100m-ma100m,time_active_overall,166,1448489095,1448492619
geo100m-ma100m,drop_overall,4,1448492619,1448496468
geo100m-ma100m,time_active_overall,167,1448492619,1448496468
geo100m-ma100m,drop_overall,5,1448496468,1448499916
geo100m-ma100m,time_active_overall,169,1448496468,1448499916
geo100m-ma100m,drop_overall,6,1448499916,1448501714
geo100m-ma100m,time_active_overall,192,1448499916,1448501714
geo100m-ma100m,drop_overall,7,1448501714,1448503608
geo100m-ma100m,time_active_overall,222,1448499916,1448501714
geo100m-ma100m,drop_overall,8,1448503608,1448507149
geo100m-ma100m,time_active_overall,224,1448501714,1448507149
geo100m-ma100m,drop_overall,11,1448507149,1448510988
geo100m-ma100m,time_active_overall,290,1448507149,1448510988
geo100m-ma100m,drop_overall,16,1448510988,1448551926
geo100m-ma100m,time_active_overall,303,1448510988,1448551926
