key,ts,value
battery_level,1449240600.00,100
battery_level,1449242313.01,100
battery_level,1449244178.49,99
battery_level,1449247696.89,93
battery_level,1449249250.98,90
battery_level,1449251254.60,88
battery_level,1449253274.84,84
battery_level,1449255500.71,81
battery_level,1449257610.87,78
battery_level,1449258865.50,77
battery_level,1449259860.56,75
battery_level,1449261941.87,72
battery_level,1449264123.26,69
battery_level,1449267337.64,65
battery_level,1449269530.46,62
battery_level,1449272210.92,59
battery_level,1449274461.07,55
battery_level,1449276514.19,52
battery_level,1449278994.98,48
battery_level,1449280888.37,44
battery_level,1449282804.54,40
battery_level,1449284303.75,36
battery_level,1449286741.29,32
battery_level,1449327802.21,0
