key,ts,value
battery_level,1449558060.77,100
battery_level,1449601695.13,91
battery_level,1449603206.02,90
battery_level,1449605180.37,89
battery_level,1449608191.85,87
battery_level,1449610282.99,86
battery_level,1449612189.23,84
battery_level,1449614367.26,82
battery_level,1449617886.28,79
battery_level,1449619630.60,78
battery_level,1449621722.65,76
battery_level,1449624944.34,73
battery_level,1449627282.61,71
battery_level,1449628585.42,70
battery_level,1449632446.08,67
battery_level,1449634259.89,65
battery_level,1449636145.03,64
battery_level,1449641449.52,61
battery_level,1449643871.68,60
battery_level,1449645191.72,59
