,end,key,value
15,1448471434,battery_level,99
17,1448473189,battery_level,96
19,1448474715,battery_level,94
21,1448476697,battery_level,91
23,1448478300,battery_level,89
25,1448480080,battery_level,87
27,1448481884,battery_level,84
29,1448483620,battery_level,83
31,1448485631,battery_level,80
33,1448487439,battery_level,78
35,1448489095,battery_level,76
37,1448492619,battery_level,71
39,1448496468,battery_level,66
41,1448499916,battery_level,61
43,1448501714,battery_level,59
45,1448503608,battery_level,56
47,1448507149,battery_level,51
49,1448510988,battery_level,47
51,1448551926,battery_level,2
