key,ts,value
battery_level,1449344421.21,100
battery_level,1449346058.27,100
battery_level,1449347445.17,100
battery_level,1449350031.81,100
battery_level,1449351177.08,100
battery_level,1449353783.33,100
battery_level,1449355565.36,100
battery_level,1449358035.45,100
battery_level,1449360197.09,99
battery_level,1449362139.40,97
battery_level,1449364005.06,96
battery_level,1449365528.91,95
battery_level,1449367502.49,95
battery_level,1449369395.97,95
battery_level,1449371079.30,93
battery_level,1449373086.25,91
battery_level,1449375803.89,89
battery_level,1449375803.89,88
battery_level,1449379349.33,87
