key,ts,value
battery_level,1449455052.85,100
battery_level,1449601695.13,99
battery_level,1449603206.02,99
battery_level,1449605180.37,98
battery_level,1449608191.85,97
battery_level,1449610282.99,96
battery_level,1449612189.23,95
battery_level,1449614367.26,93
battery_level,1449617886.28,90
battery_level,1449619630.60,88
battery_level,1449621722.65,86
battery_level,1449624944.34,84
battery_level,1449627282.61,84
battery_level,1449628585.42,84
battery_level,1449632446.08,83
battery_level,1449634259.89,82
battery_level,1449636145.03,82
battery_level,1449641449.52,81
battery_level,1449643871.68,80
battery_level,1449645191.72,80
