,end,key,value
15,1448471434,battery_level,100
17,1448473189,battery_level,100
19,1448474715,battery_level,100
21,1448476697,battery_level,100
23,1448478300,battery_level,100
25,1448480080,battery_level,100
27,1448481884,battery_level,100
29,1448483620,battery_level,100
31,1448485631,battery_level,100
33,1448487439,battery_level,100
35,1448487439,battery_level,100
37,1448489095,battery_level,100
39,1448492619,battery_level,100
41,1448496468,battery_level,100
43,1448499916,battery_level,100
45,1448501714,battery_level,100
47,1448503608,battery_level,100
49,1448503608,battery_level,100
51,1448503608,battery_level,100
53,1448551926,battery_level,96
