key,ts,value
battery_level,1449240600.00,100
battery_level,1449242313.01,100
battery_level,1449244178.49,100
battery_level,1449247696.89,98
battery_level,1449249250.98,97
battery_level,1449251254.60,96
battery_level,1449253274.84,94
battery_level,1449255500.71,92
battery_level,1449257610.87,90
battery_level,1449258865.50,89
battery_level,1449259860.56,88
battery_level,1449261941.87,86
battery_level,1449264123.26,84
battery_level,1449267337.64,81
battery_level,1449269530.46,79
battery_level,1449272210.92,77
battery_level,1449274461.07,74
battery_level,1449276514.19,72
battery_level,1449278994.98,70
battery_level,1449280888.37,68
battery_level,1449282804.54,66
battery_level,1449284303.75,64
battery_level,1449286741.29,63
battery_level,1449327802.21,41
