start_ts,start_fmt_time,end_ts,end_fmt_time,state,android_regime,ios_regime
1459279034.7,2016-03-29T12:17:14.700000-07:00,1459288014.916,2016-03-29T14:46:54.916000-07:00,moving,high+1sec,best+1m
1459288014.916,2016-03-29T14:46:54.916000-07:00,1459301430.685,2016-03-29T18:30:30.685000-07:00,loitering,high+1sec,best+1m
1459301430.685,2016-03-29T18:30:54.916000-07:00,1459302150.685,2016-03-29T18:42:30.685000-07:00,moving,high+1sec,best+1m
1459302150.685,2016-03-29T18:42:30.685000-07:00,1459310790.275,2016-03-29T21:06:30.275000-07:00,moving,high+1sec,best+1m
1459310790.275,2016-03-29T21:06:30.275000-07:00,1459342809.654,2016-03-30T06:00:09.654643-07:00,stationary,high+1sec,best+1m
1459342809.654,2016-03-30T06:00:09.654643-07:00,1459353613.859,2016-03-30T09:00:13.859000-07:00,charging-or-full,high+1sec,best+1m
1459353613.859,2016-03-30T09:00:13.859000-07:00,1459371718.965,2016-03-30T14:01:58.965395-07:00,charging-or-full,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459371718.965,2016-03-30T14:01:58.965395-07:00,1459372435.019,2016-03-30T14:13:55.019000-07:00,loitering,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459372435.019,2016-03-30T14:13:55.019000-07:00,1459373082.464,2016-03-30T14:24:42.464000-07:00,moving,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459373082.464,2016-03-30T14:24:42.464000-07:00,1459376487.670,2016-03-30T15:21:27.670000-07:00,loitering,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459376487.670,2016-03-30T15:21:27.670000-07:00,1459377221.654,2016-03-30T15:33:41.654000-07:00,moving,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459377221.654,2016-03-30T15:33:41.654000-07:00,1459379998.943,2016-03-30T16:19:58.943000-07:00,loitering,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459379998.943,2016-03-30T16:19:58.943000-07:00,1459381061.978,2016-03-30T16:37:41.978000-07:00,moving,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459381061.978,2016-03-30T16:37:41.978000-07:00,1459385843.05,2016-03-30T17:57:23.050000-07:00,loitering,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459385843.05,2016-03-30T17:57:23.050000-07:00,1459387420.68,2016-03-30T18:23:40.680000-07:00,moving,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459387420.68,2016-03-30T18:23:40.680000-07:00,1459403297.862,2016-03-30T22:48:17.862000-07:00,loitering,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459403297.862,2016-03-30T22:48:17.862000-07:00,1459403853.392,2016-03-30T22:57:33.392000-07:00,moving,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459403853.392,2016-03-30T22:57:33.392000-07:00,1459411210.330,2016-03-31T01:00:10.330742-07:00,stationary,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459411210.330,2016-03-31T01:00:10.330742-07:00,1459440025.839,2016-03-31T09:00:25.839312-07:00,charging-or-full,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459440025.839,2016-03-31T09:00:25.839312-07:00,1459448055.125,2016-03-31T11:14:15.125000-07:00,loitering,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459448055.125,2016-03-31T11:14:15.125000-07:00,1459456368.010,2016-03-31T13:32:48.010000-07:00,moving,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459456368.010,2016-03-31T13:32:48.010000-07:00,1459471440.045,2016-03-31T17:44:00.045000-07:00,loitering,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459471440.045,2016-03-31T17:44:00.045000-07:00,1459479464.073,2016-03-31T19:57:44.073000-07:00,moving,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459479464.073,2016-03-31T19:57:44.073000-07:00,1459483237.643,2016-03-31T21:00:37.643000-07:00,stationary,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459483237.643,2016-03-31T21:00:37.643000-07:00,1459486837.643,2016-03-31T22:00:37.643000-07:00,invalid,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459486837.643,2016-03-31T22:00:37.643000-07:00,1459530328.890,2016-04-01T10:05:28.890454-07:00,charging-or-full,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459530328.890,2016-04-01T10:05:28.890454-07:00,1459534773.655,2016-04-01T11:19:33.655000-07:00,stationary,high-v-balanced+1sec-v-15sec,best-v-100m+1m-v-30m
1459534773.655,2016-04-01T11:19:33.655000-07:00,1459542662.998,2016-04-01T13:31:02.998000-07:00,moving,high-v-balanced+1sec-v-15sec,best-v-100m+1m-v-30m
1459541675.602,2016-04-01T13:14:35.602000-07:00,1459558085.806,2016-04-01T17:48:05.806000-07:00,loitering,high-v-balanced+1sec-v-15sec,best-v-100m+1m-v-30m
1459558085.806,2016-04-01T17:48:05.806000-07:00,1459565397.554,2016-04-01T19:49:57.554000-07:00,moving,high-v-balanced+1sec-v-15sec,best-v-100m+1m-v-30m
1459565397.554,2016-04-01T19:49:57.554000-07:00,1459591057.753,2016-04-02T02:57:37.753000-07:00,stationary,high-v-balanced+1sec-v-15sec,best-v-100m+1m-v-30m
1459591057.753,2016-04-02T02:57:37.753000-07:00,1459609057.753,2016-04-02T07:57:37.753000-07:00,invalid,high-v-balanced+1sec-v-15sec,best-v-100m+1m-v-30m
1459609057.753,2016-04-02T07:57:37.753000-07:00,1459644463.791,2016-04-02T17:47:43.791000-07:00,charging,tracking-off,tracking-off
1459644463.791,2016-04-02T17:47:43.791000-07:00,1459720835.359,2016-04-03T15:00:35.358757-07:00,stationary,tracking-off,tracking-off
1459720835.359,2016-04-03T15:00:35.358757-07:00,1459729109.932,2016-04-03T17:18:29.931541-07:00,charging,tracking-off,tracking-off
1459729109.932,2016-04-03T17:18:29.931541-07:00,1459789230,2016-04-04T10:02:13.321972-07:00,stationary,high-v-balanced+1sec-v-15sec,best-v-100m+1m-v-30m
1459789230,2016-04-04T10:02:13.321972-07:00,1459799901,2016-04-04T12:59:12.753874-07:00,charging,tracking-off,tracking-off
1459799901,2016-04-04T12:59:12.753874-07:00,1459832671,2016-04-04T22:05:02.444129,loitering,high+1sec,best+1m
1459832671,2016-04-04T22:05:02.444129,1459866015,2016-04-05T07:20:38.395970-07:00,charging,tracking-off,tracking-off
1459866015,2016-04-05T07:20:38.395970-07:00,1459867837.141,2016-04-05T07:50:37.141000-07:00,stationary,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459867837.141,2016-04-05T07:50:37.141000-07:00,1459874919.276,2016-04-05T09:48:39.276000-07:00,moving,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459874919.276,2016-04-05T09:48:39.276000-07:00,1459900215,2016-04-05T16:50:31.349801-07:00,loitering,high-v-balanced+1sec-v-30sec,best-v-10m+1m-v-30m
1459900215,2016-04-05T16:50:31.349801-07:00,1459901131.349,2016-04-05T17:05:31.349801-07:00,invalid,high-v-balanced+1sec-v-15sec,best-v-100m+1m-v-30m
1459901131.349,2016-04-05T17:05:31.349801-07:00,1459923031.349,2016-04-05T23:10:31.349801-07:00,invalid,high-v-balanced+1sec-v-15sec,best-v-100m+1m-v-30m
1459923031.349,2016-04-05T23:10:31.349801-07:00,1460037056.000,2016-04-07T06:51:10.875548,charging,tracking-off,tracking-off
1460037056.000,2016-04-07T06:51:10.875548,1460098810,2016-04-08T00:00:10.875548-07:00,invalid,high-vs-balanced-vs-none+1sec-vs-30sec,best-vs-10m-vs-100m-vs-none+1m
1460098810,2016-04-08T00:00:10.875548-07:00,1460124910,2016-04-08T07:15:10.875548-07:00,charging,tracking-off,tracking-off
1460125810,2016-04-08T07:30:10.875548-07:00,1460471410,2016-04-12T07:30:10.875548-07:00,mixed,high-vs-balanced-vs-none+1sec-vs-30sec,best-vs-10m-vs-100m-vs-none+100m
1460125810,2016-04-08T07:30:10.875548-07:00,1460471410,2016-04-12T07:30:10.875548-07:00,mixed,high-vs-balanced-vs-none+1sec-vs-30sec,best-vs-10m-vs-100m-vs-none+100m
1461078509,2016-04-19T08:09:41.422978-07:00,1461510581,2016-04-24T08:09:41.422978-07:00,moving,best-vs-10m-vs-100m-vs-none+1m
1461853238,2016-04-28T07:20:53.566440-07:00,1465404692,2016-05-08T09:52:01.422978-07:00,moving,high-30s-v-geofenced,high-10m-v-geofenced
1465404692,2016-05-08T09:52:01.422978-07:00,Fill me in,1461510581,2016-04-24T08:09:41.422978-07:00,moving,medium-15s-v-geofenced,medium-10m-v-geofenced

