key,ts,value
battery_level,1452699972.533,100
battery_level,1452709841.805,88
battery_level,1452711972.186,84
battery_level,1452715234.213,78
battery_level,1452718427.318,71
battery_level,1452721652.905,66
battery_level,1452723599.900,64
battery_level,1452725399.052,63
battery_level,1452727895.100,61
battery_level,1452732830.445,54
battery_level,1452736186.385,51
battery_level,1452738732.896,49
battery_level,1452740887.410,47
battery_level,1452741698.565,46
battery_level,1452746767.410,40
battery_level,1452752649.203,35
