key,ts,value
battery_level,1452699972.533,100
battery_level,1452709841.805,82
battery_level,1452711972.186,76
battery_level,1452715234.213,68
battery_level,1452718427.318,58
battery_level,1452721652.905,55
battery_level,1452723599.900,54
battery_level,1452725399.052,53
battery_level,1452727895.100,52
battery_level,1452732830.445,50
battery_level,1452736186.385,49
battery_level,1452738732.896,48
battery_level,1452740887.410,48
battery_level,1452741698.565,48
battery_level,1452746767.410,46
battery_level,1452752649.203,43
