key,ts,value
battery_level,1452699972.533,100
battery_level,1452709841.805,85
battery_level,1452711972.186,80
battery_level,1452715234.213,74
battery_level,1452718427.318,67
battery_level,1452721652.905,60
battery_level,1452723599.900,57
battery_level,1452725399.052,54
battery_level,1452727895.100,51
battery_level,1452732830.445,42
battery_level,1452736186.385,35
battery_level,1452738732.896,32
battery_level,1452740887.410,29
battery_level,1452741698.565,28
battery_level,1452746767.410,19
battery_level,1452752649.203,12
