key,ts,value
battery_level,1452699972.533,100
battery_level,1452709841.805,92
battery_level,1452711972.186,88
battery_level,1452715234.213,84
battery_level,1452718427.318,77
battery_level,1452721652.905,73
battery_level,1452723599.900,72
battery_level,1452725399.052,71
battery_level,1452727895.100,70
battery_level,1452732830.445,65
battery_level,1452736186.385,63
battery_level,1452738732.896,61
battery_level,1452740887.410,60
battery_level,1452741698.565,60
battery_level,1452746767.410,54
battery_level,1452752649.203,51
