key,ts,value
battery_level,1452699972.533,100
battery_level,1452709841.805,91
battery_level,1452711972.186,87
battery_level,1452715234.213,80
battery_level,1452718427.318,71
battery_level,1452721652.905,66
battery_level,1452723599.900,64
battery_level,1452725399.052,64
battery_level,1452727895.100,64
battery_level,1452732830.445,60
battery_level,1452736186.385,58
battery_level,1452738732.896,57
battery_level,1452740887.410,57
battery_level,1452741698.565,57
battery_level,1452746767.410,55
battery_level,1452752649.203,54
