key,ts,value
battery_level,1452699972.533,100
battery_level,1452709841.805,80
battery_level,1452711972.186,74
battery_level,1452715234.213,66
battery_level,1452718427.318,58
battery_level,1452721652.905,51
battery_level,1452723599.900,48
battery_level,1452725399.052,45
battery_level,1452727895.100,41
battery_level,1452732830.445,31
battery_level,1452736186.385,25
battery_level,1452738732.896,21
battery_level,1452740887.410,18
battery_level,1452741698.565,17
battery_level,1452746767.410,8
battery_level,1452752649.203,0
