key,ts,value
battery_level,1453391344.552,100
battery_level,1453394796.983,100
battery_level,1453398819.774,99
battery_level,1453400564.737,99
battery_level,1453402236.991,98
battery_level,1453404013.985,97
battery_level,1453407124.455,95
battery_level,1453409693.592,94
battery_level,1453412493.926,93
battery_level,1453414233.000,92
battery_level,1453416075.919,91
battery_level,1453418420.768,90
battery_level,1453425445.334,87
battery_level,1453428525.711,86
battery_level,1453431343.255,85
battery_level,1453434577.249,84
battery_level,1453436949.499,83
battery_level,1453439722.937,82
battery_level,1453477687.436,71
