key,ts,value
battery_level,1453391344.552,100
battery_level,1453394796.983,98
battery_level,1453398819.774,95
battery_level,1453400564.737,94
battery_level,1453402236.991,92
battery_level,1453404013.985,90
battery_level,1453407124.455,87
battery_level,1453409693.592,84
battery_level,1453412493.926,82
battery_level,1453414233.000,81
battery_level,1453416075.919,79
battery_level,1453418420.768,78
battery_level,1453425445.334,74
battery_level,1453428525.711,72
battery_level,1453431343.255,70
battery_level,1453434577.249,68
battery_level,1453436949.499,66
battery_level,1453439722.937,64
battery_level,1453477687.436,56
