key,ts,value
battery_level,1453391344.552,100
battery_level,1453394796.983,100
battery_level,1453398819.774,96
battery_level,1453400564.737,94
battery_level,1453402236.991,91
battery_level,1453404013.985,88
battery_level,1453407124.455,82
battery_level,1453409693.592,77
battery_level,1453412493.926,72
battery_level,1453414233.000,64
battery_level,1453416075.919,61
battery_level,1453418420.768,58
battery_level,1453425445.334,44
battery_level,1453428525.711,38
battery_level,1453431343.255,33
battery_level,1453434577.249,28
battery_level,1453436949.499,25
battery_level,1453439722.937,20
battery_level,1453477687.436,0
