key,ts,value
battery_level,1453391344.552,100
battery_level,1453394796.983,100
battery_level,1453398819.774,100
battery_level,1453400564.737,100
battery_level,1453402236.991,98
battery_level,1453404013.985,96
battery_level,1453407124.455,93
battery_level,1453409693.592,91
battery_level,1453412493.926,89
battery_level,1453414233.000,88
battery_level,1453416075.919,86
battery_level,1453418420.768,83
battery_level,1453425445.334,78
battery_level,1453428525.711,77
battery_level,1453431343.255,75
battery_level,1453434577.249,73
battery_level,1453434577.249,71
battery_level,1453439722.937,70
battery_level,1453477687.436,52
